Gene	Annotation
N0.HOG0010158	calpain-9-like isoform X1
N0.HOG0010159	peroxidase-like
N0.HOG0010160	calcium-independent protein kinase C-like
N0.HOG0010161	uncharacterized protein LOC130701110
N0.HOG0010162	HEAT repeat-containing protein 3-like
N0.HOG0010163	B-cell CLL/lymphoma 6 member B protein-like
N0.HOG0010164	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like isoform X1
N0.HOG0010165	NAD-dependent protein deacetylase sirtuin-1-like
N0.HOG0010166	sphingosine-1-phosphate lyase-like
N0.HOG0010167	uncharacterized protein LOC130701123
N0.HOG0010168	actin-histidine N-methyltransferase-like
N0.HOG0010169	39S ribosomal protein L37, mitochondrial
N0.HOG0010170	queuine tRNA-ribosyltransferase catalytic subunit 1-like
N0.HOG0010171	ethanolaminephosphotransferase 1-like
N0.HOG0010172	mediator of RNA polymerase II transcription subunit 30-like
N0.HOG0010173	UDP-glucose 4-epimerase
N0.HOG0010174	uncharacterized protein LOC116929061
N0.HOG0010175	serine/threonine-protein kinase 16-like
N0.HOG0010176	progestin and adipoQ receptor family member 4-like
N0.HOG0010177	protein KTI12 homolog
N0.HOG0010178	maternal B9.10 protein-like
N0.HOG0010179	methyl-CpG-binding domain protein 3-like
N0.HOG0010180	uncharacterized protein LOC124194316
N0.HOG0010181	protein lin-37 homolog
N0.HOG0010182	Kv channel-interacting protein 1-like
N0.HOG0010183	adenylate kinase-like
N0.HOG0010184	uncharacterized protein LOC130701160
N0.HOG0010185	uncharacterized protein LOC130701161
N0.HOG0010186	ubiquitin-conjugating enzyme E2 G2 isoform X1
N0.HOG0010187	uncharacterized protein LOC130701166
N0.HOG0010188	uncharacterized protein LOC130701169
N0.HOG0010189	E3 ubiquitin-protein ligase UBR5-like isoform X1
N0.HOG0010190	neurochondrin homolog
N0.HOG0010191	uncharacterized protein LOC130701179
N0.HOG0010192	serine/threonine-protein kinase RIO3-like
N0.HOG0010193	solute carrier family 49 member 4 homolog
N0.HOG0010194	CTD small phosphatase-like protein 2
N0.HOG0010195	aquaporin AQPAe.a-like
N0.HOG0010196	protein masquerade-like
N0.HOG0010197	protein EFR3 homolog cmp44E-like isoform X1
N0.HOG0010198	N-alpha-acetyltransferase 35, NatC auxiliary subunit-like
N0.HOG0010199	uncharacterized protein LOC130701217
N0.HOG0010200	chitin deacetylase 1-like
N0.HOG0010201	heparan sulfate 2-O-sulfotransferase hst-2-like
N0.HOG0010202	serine/arginine-rich splicing factor 5-like isoform X1
N0.HOG0010203	phosphotriesterase-related protein-like
N0.HOG0010204	glutaminyl-peptide cyclotransferase-like isoform X1
N0.HOG0010205	ketosamine-3-kinase-like
N0.HOG0010206	uncharacterized protein LOC130701229
N0.HOG0010207	proteasomal ubiquitin receptor ADRM1-like
N0.HOG0010208	prenylated Rab acceptor protein 1-like
N0.HOG0010209	beclin-1-like protein
N0.HOG0010210	PAN2-PAN3 deadenylation complex catalytic subunit PAN2-like isoform X1
N0.HOG0010211	muscarinic acetylcholine receptor gar-2-like isoform X1
N0.HOG0010212	isocitrate dehydrogenase [NADP], mitochondrial-like
N0.HOG0010213	elongation factor 1-beta-like
N0.HOG0010214	10 kDa heat shock protein, mitochondrial-like
N0.HOG0010215	RNA-binding protein 39-like
N0.HOG0010216	carboxypeptidase D-like
N0.HOG0010217	WASH complex subunit 2-like
N0.HOG0010218	apoptosis regulatory protein Siva-like
N0.HOG0010219	unnamed protein product
N0.HOG0010220	succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like
N0.HOG0010221	protein white-like
N0.HOG0010222	zinc finger CCCH domain-containing protein 15 homolog
N0.HOG0010223	uncharacterized protein LOC130701310 isoform X1
N0.HOG0010224	alpha-(1,3)-fucosyltransferase 10-like isoform X1
N0.HOG0010225	DNA repair protein RAD52 homolog isoform X1
N0.HOG0010226	methionine aminopeptidase 1-like
N0.HOG0010227	serine/threonine-protein kinase mos-like
N0.HOG0010228	27 kDa hemolymph protein-like
N0.HOG0010229	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4-like
N0.HOG0010230	peptidyl-prolyl cis-trans isomerase H-like
N0.HOG0010231	U6 snRNA-associated Sm-like protein LSm5
N0.HOG0010232	probable phosphorylase b kinase regulatory subunit beta isoform X1
N0.HOG0010233	60S ribosomal export protein NMD3-like
N0.HOG0010234	septin-1-like isoform X2
N0.HOG0010235	uncharacterized protein LOC130701355
N0.HOG0010236	ketimine reductase mu-crystallin-like isoform X1
N0.HOG0010237	uncharacterized protein LOC130701372
N0.HOG0010238	vacuolar protein sorting-associated protein 35-like
N0.HOG0010239	60S ribosomal protein L28-like
N0.HOG0010240	LOW QUALITY PROTEIN: uncharacterized protein LOC130701378
N0.HOG0010241	uncharacterized protein LOC130701381
N0.HOG0010242	uncharacterized protein LOC130701383
N0.HOG0010243	acanthoscurrin-2-like
N0.HOG0010244	tyrosine-protein phosphatase Lar-like isoform X1
N0.HOG0010245	helicase POLQ-like
N0.HOG0010246	probable ATP-dependent RNA helicase DDX10
N0.HOG0010247	peroxidase-like
N0.HOG0010248	ral guanine nucleotide dissociation stimulator-like 1
N0.HOG0010249	maltase A3-like
N0.HOG0010250	formin-like protein 20 isoform X1
N0.HOG0010251	NEDD8-activating enzyme E1 regulatory subunit-like
N0.HOG0010252	transmembrane protease serine 9-like
N0.HOG0010253	adenylyl cyclase-associated protein 1-like isoform X1
N0.HOG0010254	uncharacterized protein LOC130701428
N0.HOG0010255	testisin-like isoform X1
N0.HOG0010256	microspherule protein 1-like
N0.HOG0010257	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like
N0.HOG0010258	calphotin-like
N0.HOG0010259	beta-1,3-galactosyltransferase 5-like
N0.HOG0010260	phospholipid phosphatase 3-like isoform X1
N0.HOG0010261	kynurenine formamidase-like
N0.HOG0010262	TATA-box-binding protein 2-like
N0.HOG0010263	ribosomal RNA processing protein 36 homolog isoform X1
N0.HOG0010264	tubulin-specific chaperone C-like
N0.HOG0010265	homeobox protein orthopedia-like
N0.HOG0010266	deoxynucleoside kinase-like
N0.HOG0010267	proteasome subunit beta type-4-like
N0.HOG0010268	uncharacterized protein LOC130701454 isoform X1
N0.HOG0010269	U-scoloptoxin(01)-Cw1a-like
N0.HOG0010270	RNA polymerase II transcriptional coactivator-like
N0.HOG0010271	cullin-associated NEDD8-dissociated protein 1-like
N0.HOG0010272	potassium voltage-gated channel protein Shal-like isoform X1
N0.HOG0010273	peroxidase-like
N0.HOG0010274	uncharacterized protein LOC130701472
N0.HOG0010275	serine/threonine-protein phosphatase PP1-beta catalytic subunit
N0.HOG0010276	ecotropic viral integration site 5 ortholog-like isoform X1
N0.HOG0010277	RNA polymerase II elongation factor Ell-like
N0.HOG0010278	ribosome biogenesis protein BOP1 homolog
N0.HOG0010279	zinc finger protein 436-like
N0.HOG0010280	probable G-protein coupled receptor Mth-like 5
N0.HOG0010281	synaptotagmin-4-like isoform X1
N0.HOG0010282	zinc finger protein SNAI2-like
N0.HOG0010283	DNA-dependent metalloprotease dvc-1-like isoform X1
N0.HOG0010284	mRNA export factor
N0.HOG0010285	uncharacterized protein LOC124194450
N0.HOG0010286	graves disease carrier protein-like
N0.HOG0010287	uncharacterized protein LOC130701534
N0.HOG0010288	tyrosine-protein kinase ABL1-like isoform X1
N0.HOG0010289	protein jagged-1b-like isoform X1
N0.HOG0010290	U3 small nucleolar ribonucleoprotein protein MPP10-like
N0.HOG0010291	serine/threonine-protein kinase/endoribonuclease IRE1-like
N0.HOG0010292	ankyrin repeat domain-containing protein 50-like isoform X1
N0.HOG0010293	beclin 1-associated autophagy-related key regulator-like
N0.HOG0010294	glutaredoxin-3-like
N0.HOG0010295	uncharacterized protein LOC130701665
N0.HOG0010296	mediator of RNA polymerase II transcription subunit 28-like
N0.HOG0010297	FAD synthase-like
N0.HOG0010298	tubulin polyglutamylase TTLL5-like
N0.HOG0010299	uncharacterized protein LOC130701681
N0.HOG0010300	cadherin-89D-like
N0.HOG0010301	ejaculatory bulb-specific protein 3-like
N0.HOG0010302	LIM/homeobox protein Lhx5-like
N0.HOG0010303	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like
N0.HOG0010304	FH2 domain-containing protein 1-like isoform X1
N0.HOG0010305	uncharacterized protein LOC130701846
N0.HOG0010306	GATOR complex protein Iml1-like
N0.HOG0010307	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-like
N0.HOG0010308	nascent polypeptide-associated complex subunit alpha, muscle-specific form-like
N0.HOG0010309	phosphatidylinositol-binding clathrin assembly protein LAP-like isoform X1
N0.HOG0010310	uncharacterized protein LOC130702038
N0.HOG0010311	probable arginine--tRNA ligase, mitochondrial
N0.HOG0010312	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial-like isoform X1
N0.HOG0010313	rab GDP dissociation inhibitor beta-like
N0.HOG0010314	uncharacterized protein LOC130702046 isoform X1
N0.HOG0010315	uncharacterized protein LOC130702052
N0.HOG0010316	ADP-ribosylation factor-like protein 6
N0.HOG0010317	membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1-like isoform X1
N0.HOG0010318	pumilio homolog 3-like
N0.HOG0010319	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like
N0.HOG0010320	Fanconi anemia group D2 protein-like
N0.HOG0010321	E3 ubiquitin-protein ligase Su(dx)-like
N0.HOG0010322	translocation protein SEC63 homolog
N0.HOG0010323	carcinine transporter-like
N0.HOG0010324	alanyl-tRNA editing protein Aarsd1-B-like
N0.HOG0010325	uncharacterized protein LOC130702104
N0.HOG0010326	uncharacterized protein LOC130702115
N0.HOG0010327	transmembrane protein 14C-like
N0.HOG0010328	ADP-ribosylation factor-related protein 1-like
N0.HOG0010329	LOW QUALITY PROTEIN: phosphatidylinositol 3-kinase regulatory subunit gamma-like
N0.HOG0010330	M-phase phosphoprotein 6-like
N0.HOG0010331	homeobox protein SIX1-like, partial
N0.HOG0010332	protein lap1-like
N0.HOG0010333	trypsin-1-like
N0.HOG0010334	uncharacterized protein LOC130702135 isoform X1
N0.HOG0010335	flocculation protein FLO11-like
N0.HOG0010336	N-sulphoglucosamine sulphohydrolase-like
N0.HOG0010337	G2/mitotic-specific cyclin-A-like
N0.HOG0010338	45 kDa calcium-binding protein-like
N0.HOG0010339	gamma-secretase subunit Aph-1-like
N0.HOG0010340	PRA1 family protein 3-like
N0.HOG0010341	arrestin domain-containing protein 17-like
N0.HOG0010342	protein lap4-like isoform X1
N0.HOG0010343	ubiquitin carboxyl-terminal hydrolase 7-like isoform X1
N0.HOG0010344	poly [ADP-ribose] polymerase tankyrase-like
N0.HOG0010345	erythroid differentiation-related factor 1-like
N0.HOG0010346	LOW QUALITY PROTEIN: uncharacterized protein LOC130702164
N0.HOG0010347	sodium- and chloride-dependent betaine transporter-like isoform X1
N0.HOG0010348	long-chain-fatty-acid--CoA ligase 4-like
N0.HOG0010349	acetylcholine receptor subunit beta-like 2
N0.HOG0010350	homeobox protein php-3-like
N0.HOG0010351	rRNA N6-adenosine-methyltransferase ZCCHC4-like
N0.HOG0010352	nucleoside diphosphate kinase 7-like isoform X1
N0.HOG0010353	developmentally-regulated GTP-binding protein 2-like
N0.HOG0010354	allatostatins-like
N0.HOG0010355	multiple PDZ domain protein-like isoform X1
N0.HOG0010356	U3 small nucleolar RNA-associated protein 4 homolog
N0.HOG0010357	tyrosine-protein kinase transmembrane receptor ROR2-like
N0.HOG0010358	transcription initiation factor TFIID subunit 2-like
N0.HOG0010359	anamorsin homolog
N0.HOG0010360	probable lysosomal cobalamin transporter
N0.HOG0010361	repressor of RNA polymerase III transcription MAF1 homolog
N0.HOG0010362	dynein light chain roadblock-type 2-like
N0.HOG0010363	leucine-rich repeat serine/threonine-protein kinase 1-like
N0.HOG0010364	ribosome quality control complex subunit NEMF-like
N0.HOG0010365	probable ribonuclease ZC3H12C isoform X1
N0.HOG0010366	uncharacterized protein LOC130702275
N0.HOG0010367	spermatogenesis-defective protein 39 homolog isoform X1
N0.HOG0010368	homeobox protein Hox-A11a-like
N0.HOG0010369	vesicle transport protein SFT2B-like
N0.HOG0010370	LOW QUALITY PROTEIN: uncharacterized protein LOC130702282
N0.HOG0010371	uncharacterized protein LOC130702283
N0.HOG0010372	uncharacterized protein LOC130702284
N0.HOG0010373	phospholipase D1-like isoform X1
N0.HOG0010374	uncharacterized protein LOC130702296
N0.HOG0010375	coiled-coil and C2 domain-containing protein 1-like
N0.HOG0010376	protein ST7 homolog
N0.HOG0010377	pneumococcal serine-rich repeat protein-like
N0.HOG0010378	tyrosine 3-monooxygenase-like
N0.HOG0010379	protein phosphatase methylesterase 1-like
N0.HOG0010380	uncharacterized protein LOC130702312
N0.HOG0010381	uncharacterized protein LOC130702315
N0.HOG0010382	schwannomin-interacting protein 1-like isoform X1
N0.HOG0010383	U-scoloptoxin(16)-Cw1a-like
N0.HOG0010384	myelin regulatory factor-like isoform X1
N0.HOG0010385	melanotransferrin-like
N0.HOG0010386	msx2-interacting protein-like
N0.HOG0010387	LOW QUALITY PROTEIN: uncharacterized protein LOC130702344
N0.HOG0010388	uncharacterized protein LOC130702345 isoform X1
N0.HOG0010389	histone deacetylase complex subunit SAP130-like isoform X1
N0.HOG0010390	ABC transporter G family member 20-like isoform X1
N0.HOG0010391	protein zyg-11 homolog B-like
N0.HOG0010392	importin subunit alpha-3-like
N0.HOG0010393	divergent protein kinase domain 2A-like
N0.HOG0010394	elongation factor Tu, mitochondrial-like
N0.HOG0010395	gonadotropin-releasing hormone receptor-like isoform X1
N0.HOG0010396	mitochondrial E3 ubiquitin protein ligase 1-like
N0.HOG0010397	cyclin-O-like
N0.HOG0010398	uncharacterized protein LOC130702373
N0.HOG0010399	AN1-type zinc finger protein 1-like
N0.HOG0010400	glutathione S-transferase theta-1-like
N0.HOG0010401	calcium-independent phospholipase A2-gamma-like isoform X1
N0.HOG0010402	exosome complex component CSL4-like
N0.HOG0010403	ubiquitin carboxyl-terminal hydrolase 32-like isoform X1
N0.HOG0010404	cartilage oligomeric matrix protein-like isoform X1
N0.HOG0010405	tyrosine-protein kinase Fyn-like
N0.HOG0010406	uncharacterized protein LOC130702389
N0.HOG0010407	4'-phosphopantetheine phosphatase-like
N0.HOG0010408	sorting nexin-27-like
N0.HOG0010409	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like
N0.HOG0010410	probable 39S ribosomal protein L24, mitochondrial
N0.HOG0010411	uncharacterized protein LOC130702397
N0.HOG0010412	carbonyl reductase [NADPH] 3-like
N0.HOG0010413	broad-complex core protein isoforms 1/2/3/4/5-like isoform X1
N0.HOG0010414	probable serine/threonine-protein kinase nek2
N0.HOG0010415	homeobox protein DBX1-B-like
N0.HOG0010416	glyoxylate reductase/hydroxypyruvate reductase-like isoform X1
N0.HOG0010417	cell surface glycoprotein MUC18-like isoform X1
N0.HOG0010418	AP-1 complex subunit gamma-1-like isoform X1
N0.HOG0010419	xylosyl- and glucuronyltransferase LARGE1-like
N0.HOG0010420	dynactin subunit 1-like
N0.HOG0010421	ATP-dependent RNA helicase DDX54-like
N0.HOG0010422	dnaJ homolog subfamily C member 9-like
N0.HOG0010423	dnaJ homolog subfamily C member 9-like
N0.HOG0010424	myosin heavy chain, muscle-like isoform X1
N0.HOG0010425	uncharacterized protein LOC130702500 isoform X1
N0.HOG0010426	transcription initiation factor TFIID subunit 5-like
N0.HOG0010427	sodium/potassium/calcium exchanger 3-like
N0.HOG0010428	prisilkin-39-like
N0.HOG0010429	uncharacterized protein LOC130702509 isoform X1
N0.HOG0010430	Krueppel-like factor 10
N0.HOG0010431	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6-like
N0.HOG0010432	tRNA (cytosine(38)-C(5))-methyltransferase-like
N0.HOG0010433	uncharacterized protein LOC130702523
N0.HOG0010434	ER membrane protein complex subunit 7 homolog
N0.HOG0010435	uncharacterized protein LOC130702529
N0.HOG0010436	uncharacterized protein LOC130702533
N0.HOG0010437	ras-like protein 2
N0.HOG0010438	COP1-interactive protein 1-like
N0.HOG0010439	dnaJ homolog subfamily C member 2-like
N0.HOG0010440	protein SEC13 homolog
N0.HOG0010441	mpv17-like protein 2
N0.HOG0010442	5'-3' exoribonuclease 1-like
N0.HOG0010443	WD repeat-containing protein 35-like
N0.HOG0010444	unconventional myosin-XIX-like
N0.HOG0010445	venom dipeptidyl peptidase 4-like isoform X1
N0.HOG0010446	nuclear speckle splicing regulatory protein 1-like
N0.HOG0010447	sin3 histone deacetylase corepressor complex component SDS3-like
N0.HOG0010448	ubiquitin carboxyl-terminal hydrolase 30-like
N0.HOG0010449	uncharacterized protein LOC130702594
N0.HOG0010450	Uncharacterized protein
N0.HOG0010451	DNA-binding protein inhibitor ID-2-like
N0.HOG0010452	uncharacterized protein LOC130702607
N0.HOG0010453	uncharacterized protein LOC130702616
N0.HOG0010454	inactive phospholipase C-like protein 1 isoform X1
N0.HOG0010455	abnormal cell migration protein 10-like isoform X1
N0.HOG0010456	integrator complex subunit 8-like
N0.HOG0010457	lutropin-choriogonadotropic hormone receptor-like isoform X1
N0.HOG0010458	eukaryotic translation initiation factor 2A-like isoform X1
N0.HOG0010459	serine/threonine-protein kinase 17B-like
N0.HOG0010460	uncharacterized protein LOC130702741
N0.HOG0010461	endoplasmic reticulum lectin 1-like
N0.HOG0010462	ubiquitin carboxyl-terminal hydrolase 17-like protein 6
N0.HOG0010463	heat shock 70 kDa protein 14-like
N0.HOG0010464	MAP kinase-interacting serine/threonine-protein kinase 1-like isoform X1
N0.HOG0010465	LIM and SH3 domain protein Lasp
N0.HOG0010466	zinc finger protein ubi-d4-like isoform X1
N0.HOG0010467	protein mesh-like isoform X1
N0.HOG0010468	mitochondrial outer membrane protein SLC25A46-like
N0.HOG0010469	histone deacetylase 1-like
N0.HOG0010470	trimethylguanosine synthase-like isoform X1
N0.HOG0010471	UBX domain-containing protein 4-like
N0.HOG0010472	protein MAK16 homolog
N0.HOG0010473	rRNA-processing protein UTP23 homolog
N0.HOG0010474	musculin-like
N0.HOG0010475	coatomer subunit zeta-1-like
N0.HOG0010476	proteoglycan 4-like
N0.HOG0010477	axotactin-like
N0.HOG0010478	uncharacterized protein LOC130702849
N0.HOG0010479	serrate RNA effector molecule homolog isoform X1
N0.HOG0010480	ankyrin repeat and SOCS box protein 13-like isoform X1
N0.HOG0010481	SAP domain-containing ribonucleoprotein-like
N0.HOG0010482	NOP protein chaperone 1-like
N0.HOG0010483	RNA-binding protein 48-like
N0.HOG0010484	putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1
N0.HOG0010485	unnamed protein product
N0.HOG0010486	pre-mRNA-splicing factor 18-like
N0.HOG0010487	class A basic helix-loop-helix protein 15-like isoform X1
N0.HOG0010488	26S proteasome non-ATPase regulatory subunit 2-like
N0.HOG0010489	E3 ubiquitin-protein ligase HERC2-like isoform X1
N0.HOG0010490	oxysterol-binding protein-related protein 8-like isoform X1
N0.HOG0010491	signal transducing adapter molecule 1-like
N0.HOG0010492	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like
N0.HOG0010493	uncharacterized protein LOC130702890
N0.HOG0010494	elongation factor 1-delta-like
N0.HOG0010495	BTB/POZ domain-containing protein 2-like
N0.HOG0010496	uncharacterized protein LOC130702911
N0.HOG0010497	beta-1,3-galactosyltransferase brn
N0.HOG0010498	box C/D snoRNA protein 1-like
N0.HOG0010499	endophilin-B1-like
N0.HOG0010500	neuroblast differentiation-associated protein AHNAK-like isoform X1
N0.HOG0010501	uncharacterized protein LOC130702945
N0.HOG0010502	40S ribosomal protein S18
N0.HOG0010503	60S acidic ribosomal protein P1-like
N0.HOG0010504	uncharacterized protein LOC130702951
N0.HOG0010505	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2-like
N0.HOG0010506	cAMP-dependent protein kinase catalytic subunit 1-like
N0.HOG0010507	glycine cleavage system H protein-like
N0.HOG0010508	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial-like
N0.HOG0010509	homeobox protein caupolican-like
N0.HOG0010510	nucleoporin p58/p45-like isoform X1
N0.HOG0010511	uncharacterized protein LOC130702955 isoform X1
N0.HOG0010512	inositol polyphosphate multikinase-like isoform X1
N0.HOG0010513	phenylalanine--tRNA ligase beta subunit-like
N0.HOG0010514	probable actin-related protein 2/3 complex subunit 2
N0.HOG0010515	homeobox protein aristaless-like
N0.HOG0010516	uncharacterized protein LOC124330272
N0.HOG0010517	probable methyltransferase-like protein 24
N0.HOG0010518	unnamed protein product
N0.HOG0010519	E3 ubiquitin-protein ligase MIB2-like
N0.HOG0010520	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0010521	unnamed protein product
N0.HOG0010522	uncharacterized protein LOC130703042
N0.HOG0010523	SEC14 domain and spectrin repeat-containing protein 1-like
N0.HOG0010524	short transient receptor potential channel 4-associated protein-like
N0.HOG0010525	uncharacterized protein LOC130703108
N0.HOG0010526	major facilitator superfamily domain-containing protein 6-A-like
N0.HOG0010527	multiple inositol polyphosphate phosphatase 1-like
N0.HOG0010528	uncharacterized protein LOC130703137
N0.HOG0010529	uncharacterized protein LOC124315013
N0.HOG0010530	unnamed protein product
N0.HOG0010531	paramyosin-like isoform X1
N0.HOG0010532	acid-sensing ion channel 1B-like
N0.HOG0010533	PRKC apoptosis WT1 regulator protein-like isoform X1
N0.HOG0010534	dynein axonemal heavy chain 7-like
N0.HOG0010535	JNK-interacting protein 3-like isoform X1
N0.HOG0010536	protein ILRUN-like
N0.HOG0010537	rab3 GTPase-activating protein non-catalytic subunit-like
N0.HOG0010538	Golgi reassembly-stacking protein 2-like
N0.HOG0010539	uncharacterized protein LOC130703293
N0.HOG0010540	E3 ubiquitin-protein ligase ZNF598-like
N0.HOG0010541	translocon-associated protein subunit alpha-like
N0.HOG0010542	RING finger protein 207-like
N0.HOG0010543	tectonin beta-propeller repeat-containing protein-like
N0.HOG0010544	heterogeneous nuclear ribonucleoprotein L-like isoform X1
N0.HOG0010545	myocardin-related transcription factor A-like isoform X1
N0.HOG0010546	maternal protein exuperantia-like isoform X1
N0.HOG0010547	putative zinc metalloproteinase C607.06c isoform X1
N0.HOG0010548	DDB1- and CUL4-associated factor 12 homolog
N0.HOG0010549	protein FAM169B-like isoform X1
N0.HOG0010550	glia maturation factor beta-like
N0.HOG0010551	sorting nexin-14-like isoform X1
N0.HOG0010552	calcium-transporting ATPase type 2C member 1-like
N0.HOG0010553	GATOR complex protein MIOS-A-like
N0.HOG0010554	xylosyltransferase oxt-like
N0.HOG0010555	uncharacterized protein LOC130703408
N0.HOG0010556	general transcription factor IIH subunit 2-like
N0.HOG0010557	neurogenin-2-like
N0.HOG0010558	E3 ubiquitin-protein ligase Mdm2-like
N0.HOG0010559	uncharacterized protein LOC130703421
N0.HOG0010560	unnamed protein product
N0.HOG0010561	protein LSM12 homolog A-like
N0.HOG0010562	NEDD8-conjugating enzyme UBE2F-like
N0.HOG0010563	protein transport protein Sec61 subunit beta-like
N0.HOG0010564	actin-related protein 5-like isoform X1
N0.HOG0010565	hyccin-like isoform X1
N0.HOG0010566	large subunit GTPase 1 homolog
N0.HOG0010567	protein ecdysoneless-like
N0.HOG0010568	centriolar coiled-coil protein of 110 kDa-like
N0.HOG0010569	transcription factor SOX-1-like
N0.HOG0010570	tetratricopeptide repeat protein 7B-like
N0.HOG0010571	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like
N0.HOG0010572	D-glucuronyl C5-epimerase B-like
N0.HOG0010573	probable citrate synthase 2, mitochondrial
N0.HOG0010574	uncharacterized protein LOC130703518 isoform X1
N0.HOG0010575	RNA-binding protein 28-like
N0.HOG0010576	putative lipoyltransferase 2, mitochondrial
N0.HOG0010577	hypoxanthine-guanine phosphoribosyltransferase-like
N0.HOG0010578	splicing factor 3B subunit 4-like
N0.HOG0010579	golgin subfamily B member 1-like
N0.HOG0010580	BRCA1-associated RING domain protein 1-like
N0.HOG0010581	uncharacterized protein LOC130703577
N0.HOG0010582	coatomer subunit alpha-like isoform X1
N0.HOG0010583	flocculation protein FLO11-like
N0.HOG0010584	lysosomal alpha-mannosidase-like
N0.HOG0010585	neurogenic locus notch homolog protein 3-like
N0.HOG0010586	probable protein phosphatase 2C T23F11.1
N0.HOG0010587	potassium channel subfamily K member 18-like
N0.HOG0010588	innexin shaking-B-like
N0.HOG0010589	extensin-like
N0.HOG0010590	uncharacterized protein LOC130703595
N0.HOG0010591	40S ribosomal protein S24-like isoform X1
N0.HOG0010592	uncharacterized protein LOC130703598
N0.HOG0010593	eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like isoform X1
N0.HOG0010594	rho GDP-dissociation inhibitor 2-like
N0.HOG0010595	cadherin-99C-like isoform X1
N0.HOG0010596	sodium-dependent nutrient amino acid transporter 1-like isoform X1
N0.HOG0010597	DNA polymerase delta subunit 3-like
N0.HOG0010598	uncharacterized protein LOC130703628
N0.HOG0010599	probable chitinase 10
N0.HOG0010600	splicing factor U2AF 50 kDa subunit-like
N0.HOG0010601	cysteine protease ATG4B-like
N0.HOG0010602	leucine carboxyl methyltransferase 1-like
N0.HOG0010603	ras-related GTP-binding protein A
N0.HOG0010604	bestrophin-2-like isoform X1
N0.HOG0010605	LOW QUALITY PROTEIN: mucin-2-like
N0.HOG0010606	U4/U6.U5 tri-snRNP-associated protein 2-like
N0.HOG0010607	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0010608	histone H3.v1-like
N0.HOG0010609	gem-associated protein 2-like
N0.HOG0010610	60S ribosomal protein L35-like
N0.HOG0010611	peptidyl-prolyl cis-trans isomerase-like 4
N0.HOG0010612	glypican-5-like
N0.HOG0010613	extensin-like
N0.HOG0010614	uncharacterized protein LOC130703699
N0.HOG0010615	uncharacterized protein LOC130703700
N0.HOG0010616	dnaJ homolog subfamily B member 6-like isoform X1
N0.HOG0010617	protein mago nashi homolog
N0.HOG0010618	transcription factor Sox-21-like
N0.HOG0010619	uncharacterized protein LOC130703715
N0.HOG0010620	pro-resilin-like
N0.HOG0010621	mucin-2-like
N0.HOG0010622	pro-resilin-like
N0.HOG0010623	pro-resilin-like
N0.HOG0010624	serine/threonine-protein kinase mig-15-like isoform X1
N0.HOG0010625	uncharacterized protein LOC130703733
N0.HOG0010626	uncharacterized protein LOC130703734
N0.HOG0010627	inositol hexakisphosphate kinase 3-like
N0.HOG0010628	ARF GTPase-activating protein GIT2-like
N0.HOG0010629	kinetochore protein NDC80 homolog isoform X1
N0.HOG0010630	protein spaetzle 3-like
N0.HOG0010631	uncharacterized protein LOC130703752
N0.HOG0010632	poly(3-hydroxyalkanoate) depolymerase C-like
N0.HOG0010633	homeobox protein HMX3-like
N0.HOG0010634	ubiquitin-protein ligase E3A-like isoform X1
N0.HOG0010635	macoilin-like
N0.HOG0010636	uncharacterized oxidoreductase YjmC-like isoform X1
N0.HOG0010637	peroxisomal targeting signal 2 receptor-like
N0.HOG0010638	DNA replication licensing factor mcm7-like
N0.HOG0010639	rab proteins geranylgeranyltransferase component A 2-like
N0.HOG0010640	uncharacterized protein LOC130703837
N0.HOG0010641	DCN1-like protein 1
N0.HOG0010642	apolipoprotein D
N0.HOG0010643	protein dopey-1-like isoform X1
N0.HOG0010644	THUMP domain-containing protein 1-like
N0.HOG0010645	opsin-2-like
N0.HOG0010646	flavin-containing monooxygenase FMO GS-OX1-like
N0.HOG0010647	protein ABHD15-like
N0.HOG0010648	oocyte zinc finger protein XlCOF6.1-like
N0.HOG0010649	uncharacterized protein LOC130703869
N0.HOG0010650	uncharacterized protein LOC130703871
N0.HOG0010651	H/ACA ribonucleoprotein complex subunit 1-like
